nombre,pais,api_id,api_source
Timothy J. Keller,,Tim Keller (pastor),wikipedia
Vice President Theodore Roosevelt,,Theodore Roosevelt III,wikipedia
George Washington,the Colony,George Washington,wikipedia
Dustin Lance Black,,Dustin Lance Black,wikipedia
Orbit Books,,Orbit Books,wikipedia
Mary Roach,American,Mary Roach,wikipedia
Eric Kripke,American,Eric Kripke,wikipedia
Soren Kaplan,,Soren Kaplan,wikipedia
Richard Price,Llangeinor,Richard Price,wikipedia
Tadashi Agi,Tokyo Metropolitan,Shin Kibayashi,wikipedia
Sam Harris,,Sam Harris,wikipedia
President Joe Biden,Scranton,Joe Biden,wikipedia
Son Lux,,Son Lux,wikipedia
Jon Krakauer. It,American,Jon Krakauer,wikipedia
Erik Larson,,Erik Larson (author),wikipedia
Malala Yousafzai,attending school,Malala Yousafzai,wikipedia
Lindsey Stirling,classical to,Lindsey Stirling,wikipedia
Umberto Eco,French and,Umberto Eco,wikipedia
Todd Cassetty,Swift,Beautiful Eyes,wikipedia
Philippa Lowthorpe,,Philippa Lowthorpe,wikipedia
John Steinbeck,,John Steinbeck,wikipedia
John Grisham,American,John Grisham,wikipedia
Ryan Murphy,American,Ryan Murphy (producer),wikipedia
Simon Reynolds,,Simon Reynolds,wikipedia
Bloc Party,,Bloc Party,wikipedia
David Byrne,Dumbarton,David Byrne,wikipedia
Rob Sheffield,,Rob Sheffield,wikipedia
Bobby Byrd,,Bobby Byrd,wikipedia
Fantasy Records,,Fantasy Records,wikipedia
W. W. Norton,,W. W. Norton & Company,wikipedia
Elektra Records,the Atlantic,Elektra Records,wikipedia
Sony Interactive Entertainment,,Sony Interactive Entertainment,wikipedia
Motown Records,MCA in,Motown,wikipedia
Daniel James Brown,American,Daniel James Brown,wikipedia
Marvin Gaye,the reins,Marvin Gaye,wikipedia
Paramount Pictures,Paramount Pictures,Paramount Pictures,wikipedia
Josh Ramsay,,Josh Ramsay,wikipedia
David Foster Wallace,Amherst College,David Foster Wallace,wikipedia
Apple Inc,computers to,Apple Inc.,wikipedia
Dylan Minnette,,Dylan Minnette,wikipedia
Riverhead Books,,Riverhead Books,wikipedia
Larry Brand,,The Girl on the Train (2013 film),wikipedia
Maurice Doreal,Oklahoma and,Maurice Doreal,wikipedia
A. Baillet,,Baillet,wikipedia
Jilly Cooper,,Jilly Cooper,wikipedia
Jane Goldman,,Jane Goldman,wikipedia
Thomas Cobb,"Indiana
Thomas",Thomas Cobb,wikipedia
Charles Monroe Sheldon. First,,In His Steps,wikipedia
Nielsen Media Research,NielsenIQ,Nielsen Media Research,wikipedia
Daniel Pink. The,,Daniel H. Pink,wikipedia
Anirudh Ravichander,,Anirudh Ravichander,wikipedia
